"Affiliate Code","Upline Affiliate Username","Affiliate Username","Sign Up Country","Currency","Approved Time","Registered Users","Number of First Deposits","First Deposit","Active Players","Total Deposit","Total Deposit Payment Fee","Total Withdrawal","Total Withdrawal Payment Fee","Total Number of Bets","Total Turnover","Total Profit&Loss","Total Bonus","Total VIP Cash Bonus","Total Referral Commission","Total Revenue Adjustment","Total Deduction","Total Net Profit","Slots Bet Count","Slots Total Stake","Slots Total Turnover","Slots Total Profit&Loss","Live Casino Bet Count","Live Casino Total Stake","Live Casino Total Turnover","Live Casino Total Profit&Loss","Sports Bet Count","Sports Total Stake","Sports Total Turnover","Sports Total Profit&Loss","Fishing Bet Count","Fishing Total Stake","Fishing Total Turnover","Fishing Total Profit&Loss","Card Bet Count","Card Total Stake","Card Total Turnover","Card Total Profit&Loss","E-sports Bet Count","E-sports Total Stake","E-sports Total Turnover","E-sports Total Profit&Loss","Lottery Bet Count","Lottery Total Stake","Lottery Total Turnover","Lottery Total Profit&Loss","P2P Bet Count","P2P Total Stake","P2P Total Turnover","P2P Total Profit&Loss","Table Bet Count","Table Total Stake","Table Total Turnover","Table Total Profit&Loss","Arcade Bet Count","Arcade Total Stake","Arcade Total Turnover","Arcade Total Profit&Loss","Crash Bet Count","Crash Total Stake","Crash Total Turnover","Crash Total Profit&Loss"
"iWXGlkMy"," ","fbmsgbdt","-","BDT","2021/08/04 12:39:42","0","0","0","8","9700","0","7000","0","3979","89209.9","5717.20","194","0","109.47","0","0.00","5413.73","3261","10463.9","10463.9","2351.20","703","74927","74927","3747","15","3819","3819","-381","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v603NqL5"," ","socialdomain","-","BDT","2021/08/03 15:55:41","9","6","4500","94","116100","410","109300","0","31051","762060.1","28198.455","9622.3","226","134.78","2030.75","0.00","16184.625","27770","306335.6","306315.6","-83.305","1331","288189","285999","21275.65","87","30818","28209","107.1","62","94.3","94.3","17.5","","","","","","","","","55","1759","1759","-1516","","","","","1051","140914.35","94781.2","10441.7","","","","","695","44902","44902","-2044.19"
"9ywZUx6o"," ","jeetbuzzyoutube","-","BDT","2021/08/03 16:29:00","0","0","0","2","0","0","0","0","596","15481","5151.45","177","0","35.7","0","0.00","4938.75","595","15154","15154","4824.45","1","327","327","327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hTTNX59v"," ","pinterest","-","BDT","2021/08/03 16:29:10","0","0","0","0","0","0","0","0","0","0","0","0.86","0","0.86","0","0","-1.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IkrIOC52"," ","instagram","-","BDT","2021/08/04 12:36:00","0","0","0","1","0","0","0","0","33","8728","-2263.15","0","0","0","0","0","-2263.15","","","","","","","","","33","8728","8728","-2263.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"o36TsA9F"," ","twitter","-","BDT","2021/08/04 12:36:07","0","0","0","6","6900","0","0","0","7995","56344.4","7615.99","30","0","0","0","0.00","7585.99","7913","21464.5","21464.5","5162.89","47","30860","30860","940","27","3935","3955","1480","","","","","","","","","","","","","","","","","","","","","7","72","63.9","32.1","","","","","1","1","1","1"
"v603NqL5"," ","socialdomain","-","INR","2021/08/03 15:55:41","0","0","0","0","0","0","0","0","68","101.5","35.5","0","0","0","0","0","0","68","101.5","101.5","35.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"876PXpSt"," ","whatappbdt","IN","BDT","2024/04/03 15:21:36","0","0","0","1","2000","0","0","0","155","24410","2000","0","0","0","0","0.00","2000.00","","","","","155","24410","24410","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"748lksgk"," ","fbhijack","-","BDT","2021/08/03 16:28:49","0","0","0","1","0","0","0","0","3","110","50","0","0","0","0","0.00","50.00","","","","","3","110","110","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VxzGKJMT"," ","fbdirect","-","BDT","2021/08/03 16:28:55","0","0","0","18","52100","200","19500","0","2572","412027.89","107549.16","1958","35","99.45","0","0.00","105406.71","1862","228624.9","228624.9","59673.18","540","63240","63150","8100.75","36","122003","114193","39808.8","","","","","","","","","","","","","","","","","4","1000","1000","50","130","5059.99","5059.99","-83.57","","","","","","","",""
"Grand Total","","","","","","9","6","4500.00","131","186800.00","610.00","135800.00","0.00","46452","1368472.79","154054.61","11982.16","261.00","380.26","2030.75","0.00","139314.94"
