"Affiliate Code","Upline Affiliate Username","Affiliate Username","Sign Up Country","Currency","Approved Time","Registered Users","Number of First Deposits","First Deposit","Active Players","Total Deposit","Total Deposit Payment Fee","Total Withdrawal","Total Withdrawal Payment Fee","Total Number of Bets","Total Turnover","Total Profit&Loss","Total Bonus","Total VIP Cash Bonus","Total Referral Commission","Total Revenue Adjustment","Total Deduction","Total Net Profit","Slots Bet Count","Slots Total Stake","Slots Total Turnover","Slots Total Profit&Loss","Live Casino Bet Count","Live Casino Total Stake","Live Casino Total Turnover","Live Casino Total Profit&Loss","Sports Bet Count","Sports Total Stake","Sports Total Turnover","Sports Total Profit&Loss","Fishing Bet Count","Fishing Total Stake","Fishing Total Turnover","Fishing Total Profit&Loss","Card Bet Count","Card Total Stake","Card Total Turnover","Card Total Profit&Loss","E-sports Bet Count","E-sports Total Stake","E-sports Total Turnover","E-sports Total Profit&Loss","Lottery Bet Count","Lottery Total Stake","Lottery Total Turnover","Lottery Total Profit&Loss","P2P Bet Count","P2P Total Stake","P2P Total Turnover","P2P Total Profit&Loss","Table Bet Count","Table Total Stake","Table Total Turnover","Table Total Profit&Loss","Arcade Bet Count","Arcade Total Stake","Arcade Total Turnover","Arcade Total Profit&Loss","Crash Bet Count","Crash Total Stake","Crash Total Turnover","Crash Total Profit&Loss"
"iWXGlkMy"," ","fbmsgbdt","-","BDT","2021/08/04 12:39:42","0","0","0","3","1200","0","0","0","545","20781","1352.10","14","0","127.91","0","0.00","1210.19","334","411","411","127.45","136","18062","18062","958","7","694","694","-48.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","1614","1614","314.9"
"v603NqL5"," ","socialdomain","-","BDT","2021/08/03 15:55:41","30","15","13100","79","91600","260","41100","0","32340","920424.83","60606.4644","29270.65","66","45.95","-500","0.00","34823.8644","27518","490696.14","490696.14","25557.90","2272","249019","245958","7318.8","106","157222","93668.45","23198.3344","1631","7587.5","7587.5","588.4","","","","","","","","","","","","","11","4500","4500","-3100","446","35989.54","35482.54","2910.82","","","","","356","42532.2","42532.2","4132.21"
"9ywZUx6o"," ","jeetbuzzyoutube","-","BDT","2021/08/03 16:29:00","0","0","0","4","0","0","0","0","343","4364.6","2536.30","454","31","152.78","0","0.00","1898.52","341","2444.6","2444.6","616.30","1","20","20","20","1","1900","1900","1900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hTTNX59v"," ","pinterest","-","BDT","2021/08/03 16:29:10","0","0","0","0","0","0","0","0","0","0","0","8.7","0","8.7","0","0","-17.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IkrIOC52"," ","instagram","-","BDT","2021/08/04 12:36:00","0","0","0","1","0","0","0","0","1","1","1","0.4","0","0.4","0","0.00","0.20","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6A0BREx"," ","whatsapppkr","IN","PKR","2024/04/01 18:19:46","0","0","0","0","0","0","0","0","7","1100","123.56","0","0","0","0","24.71","98.85","","","","","","","","","7","1100","1100","123.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v603NqL5"," ","socialdomain","-","INR","2021/08/03 15:55:41","1","0","0","0","0","0","0","0","3","2.6","1.4","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","2.6","1.4","","","","","","","",""
"o36TsA9F"," ","twitter","-","BDT","2021/08/04 12:36:07","0","0","0","4","3600","0","1100","0","8029","25364.37","776.408","84.64","4","0","0","0.00","687.768","7170","18854.66","18854.66","344.96","","","","","43","14186","6266","400.168","","","","","","","","","","","","","","","","","","","","","","","","","816","243.71","243.71","31.28","","","",""
"v603NqL5"," ","socialdomain","-","PKR","2021/08/03 15:55:41","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"748lksgk"," ","fbhijack","-","BDT","2021/08/03 16:28:49","0","0","0","1","500","0","0","0","236","2094.5","520.0","18.19","0","0","0","0.00","501.81","228","1142","1142","157.5","","","","","4","830","830","330","","","","","","","","","","","","","","","","","","","","","4","122.5","122.5","32.5","","","","","","","",""
"876PXpSt"," ","whatappbdt","IN","BDT","2024/04/03 15:21:36","0","0","0","1","1300","0","0","0","8","1300","1300","0","0","0","0","0.00","1300.00","","","","","8","1300","1300","1300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VxzGKJMT"," ","fbdirect","-","BDT","2021/08/03 16:28:55","1","0","0","16","56100","200","57700","0","2765","455018.14","-29972.256","1946","53","51.13","0","0","-32022.386","2474","67745.7","67745.7","20993.96","189","92548","92548","2758","99","293053","294669","-53773.656","","","","","","","","","","","","","","","","","","","","","3","55.44","55.44","49.44","","","","","","","",""
"Grand Total","","","","","","33","15","13100.00","109","154300.00","460.00","99900.00","0.00","44277","1430451.04","37244.98","31796.58","154.00","386.87","-500.00","24.71","8481.42"
