"Affiliate Code","Upline Affiliate Username","Affiliate Username","Sign Up Country","Currency","Approved Time","Registered Users","Number of First Deposits","First Deposit","Active Players","Total Deposit","Total Deposit Payment Fee","Total Withdrawal","Total Withdrawal Payment Fee","Total Number of Bets","Total Turnover","Total Profit&Loss","Total Bonus","Total VIP Cash Bonus","Total Referral Commission","Total Revenue Adjustment","Total Deduction","Total Net Profit","Slots Bet Count","Slots Total Stake","Slots Total Turnover","Slots Total Profit&Loss","Live Casino Bet Count","Live Casino Total Stake","Live Casino Total Turnover","Live Casino Total Profit&Loss","Sports Bet Count","Sports Total Stake","Sports Total Turnover","Sports Total Profit&Loss","Fishing Bet Count","Fishing Total Stake","Fishing Total Turnover","Fishing Total Profit&Loss","Card Bet Count","Card Total Stake","Card Total Turnover","Card Total Profit&Loss","E-sports Bet Count","E-sports Total Stake","E-sports Total Turnover","E-sports Total Profit&Loss","Lottery Bet Count","Lottery Total Stake","Lottery Total Turnover","Lottery Total Profit&Loss","P2P Bet Count","P2P Total Stake","P2P Total Turnover","P2P Total Profit&Loss","Table Bet Count","Table Total Stake","Table Total Turnover","Table Total Profit&Loss","Arcade Bet Count","Arcade Total Stake","Arcade Total Turnover","Arcade Total Profit&Loss","Crash Bet Count","Crash Total Stake","Crash Total Turnover","Crash Total Profit&Loss"
"iWXGlkMy"," ","fbmsgbdt","-","BDT","2021/08/04 12:39:42","1","0","0","5","3600","0","1200","0","1875","19001.3","3801.6","20","48","0","0","0.00","3733.60","1753","10257.3","10257.3","2123.6","105","8140","8140","1220","1","300","300","300","","","","","","","","","","","","","1","4","4","4","","","","","15","540","300","154","","","","","","","",""
"v603NqL5"," ","socialdomain","-","BDT","2021/08/03 15:55:41","3","8","6000","66","69500","434","25900","0","16889","529288.60","79419.558","13660.06","170","472.12","0","0.00","65117.378","14209","86732.70","86732.70","11098.29","1845","224010","200014","12429.70","79","233129","210529","49854.848","278","238.4","238.4","-6.5","","","","","","","","","","","","","","","","","192","13408.0","12163.5","2412.0","","","","","286","19611","19611","3631.22"
"9ywZUx6o"," ","jeetbuzzyoutube","-","BDT","2021/08/03 16:29:00","0","0","0","3","26000","0","0","0","1284","93596.7","24606.69","459","0","19.67","0","0.00","24128.02","1231","67837.1","67837.1","21517.09","52","25719","25719","3049","1","580","40.6","40.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hTTNX59v"," ","pinterest","-","BDT","2021/08/03 16:29:10","0","0","0","2","0","0","0","0","82","187","57.5","33.89","0","33.89","0","0.00","-10.28","77","77","77","33.4","3","90","90","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","20","20","-5.9"
"U6A0BREx"," ","whatsapppkr","IN","PKR","2024/04/01 18:19:46","0","0","0","0","0","0","0","0","4","592","28.5","0","0","0","0","5.70","22.80","","","","","","","","","4","650","592","28.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"o36TsA9F"," ","twitter","-","BDT","2021/08/04 12:36:07","0","0","0","2","2000","0","0","0","7966","21083.61","1543.8","20","41","0","0","0.00","1482.80","7316","18611.5","18611.5","1339.0","","","","","21","4035","2174.2","165.4","","","","","","","","","","","","","","","","","","","","","","","","","629","297.91","297.91","39.4","","","",""
"748lksgk"," ","fbhijack","-","BDT","2021/08/03 16:28:49","0","0","0","1","500","0","0","0","27","1818.75","521.25","6.37","0","6.37","0","0.00","508.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","1920","1818.75","521.25","","","","","","","",""
"VxzGKJMT"," ","fbdirect","-","BDT","2021/08/03 16:28:55","0","0","0","17","57500","100","47700","0","2416","225152.6","7130.57","7705","430","14.8","0","0.00","-1044.23","2017","31764.6","31764.6","8055.51","305","83914","83914","-13051.0","31","117683","106983","11989.72","","","","","","","","","","","","","","","","","2","500","500","25","45","2320","1810","80","","","","","16","181","181","31.34"
"Grand Total","","","","","","4","8","6000.00","96","159100.00","534.00","74800.00","0.00","30543","890720.56","117109.47","21904.32","689.00","546.85","0.00","5.70","93938.60"
