"Affiliate Code","Upline Affiliate Username","Affiliate Username","Sign Up Country","Currency","Approved Time","Registered Users","Number of First Deposits","First Deposit","Active Players","Total Deposit","Total Deposit Payment Fee","Total Withdrawal","Total Withdrawal Payment Fee","Total Number of Bets","Total Turnover","Total Profit&Loss","Total Bonus","Total VIP Cash Bonus","Total Referral Commission","Total Revenue Adjustment","Total Deduction","Total Net Profit","Slots Bet Count","Slots Total Stake","Slots Total Turnover","Slots Total Profit&Loss","Live Casino Bet Count","Live Casino Total Stake","Live Casino Total Turnover","Live Casino Total Profit&Loss","Sports Bet Count","Sports Total Stake","Sports Total Turnover","Sports Total Profit&Loss","Fishing Bet Count","Fishing Total Stake","Fishing Total Turnover","Fishing Total Profit&Loss","Card Bet Count","Card Total Stake","Card Total Turnover","Card Total Profit&Loss","E-sports Bet Count","E-sports Total Stake","E-sports Total Turnover","E-sports Total Profit&Loss","Lottery Bet Count","Lottery Total Stake","Lottery Total Turnover","Lottery Total Profit&Loss","P2P Bet Count","P2P Total Stake","P2P Total Turnover","P2P Total Profit&Loss","Table Bet Count","Table Total Stake","Table Total Turnover","Table Total Profit&Loss","Arcade Bet Count","Arcade Total Stake","Arcade Total Turnover","Arcade Total Profit&Loss","Crash Bet Count","Crash Total Stake","Crash Total Turnover","Crash Total Profit&Loss"
"iWXGlkMy"," ","fbmsgbdt","-","BDT","2021/08/04 12:39:42","0","0","0","6","4200","30","2000","0","1936","36678.6","3248.73","591","0","1390.45","0","0.00","1267.28","1720","12288.6","12288.6","2303.25","47","3910","3910","140","46","15305","15045","-392.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123","5435","5435","1198"
"v603NqL5"," ","socialdomain","-","BDT","2021/08/03 15:55:41","8","4","2000","79","73400","176","46000","0","29225","657207.62","57361.755","6857","246","22.14","0","0.00","50236.615","25343","220992.5","220992.5","28288.98","1192","256359","250130","2564.25","53","29566","16581.5","5804.3","693","923.6","923.6","-37.2","","","","","","","","","","","","","","","","","1251","176486.92","138483.62","19570.265","20","51.4","51.4","35.6","673","30045","30045","1135.56"
"9ywZUx6o"," ","jeetbuzzyoutube","-","BDT","2021/08/03 16:29:00","0","0","0","3","0","0","0","0","469","773","120.45","94.59","25","94.59","0","0.00","-93.73","468","693","693","40.45","1","80","80","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hTTNX59v"," ","pinterest","-","BDT","2021/08/03 16:29:10","0","0","0","1","0","0","0","0","19","27.6","27.6","8.05","0","8.05","0","0.00","11.50","19","27.6","27.6","27.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IkrIOC52"," ","instagram","-","BDT","2021/08/04 12:36:00","0","0","0","1","0","0","7000","0","173","21531.5","-4526.5","0","0","0","0","0","-4526.5","95","510.5","510.5","-233.5","","","","","78","22033","21021","-4293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6A0BREx"," ","whatsapppkr","IN","PKR","2024/04/01 18:19:46","0","1","500","0","500","30","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"o36TsA9F"," ","twitter","-","BDT","2021/08/04 12:36:07","0","0","0","6","2800","0","0","0","5317","30487.47","4975.54","3036","10","0","0","0.00","1929.54","5254","24013.4","24013.4","3324.32","30","4640","4640","690","17","19323","1833","960.5","","","","","","","","","","","","","","","","","","","","","","","","","16","1.07","1.07","0.72","","","",""
"VxzGKJMT"," ","fbdirect","-","BDT","2021/08/03 16:28:55","1","0","0","15","42300","128","68800","0","5480","411628.78","-66456.28","5717","13","64.38","0","0","-71575.66","5256","304831.5","304831.5","3739.05","175","36794","36794","-17330","27","68978","68978","-52218.61","","","","","","","","","","","","","","","","","3","750","750","-675","14","287.28","257.28","25.28","","","","","5","18","18","3"
"Grand Total","","","","","","9","5","2500.00","111","123200.00","364.00","123800.00","0.00","42619","1158334.57","-5248.71","16303.64","294.00","1579.61","0.00","0.00","-22750.96"
