"Affiliate Code","Upline Affiliate Username","Affiliate Username","Sign Up Country","Currency","Approved Time","Registered Users","Number of First Deposits","First Deposit","Active Players","Total Deposit","Total Deposit Payment Fee","Total Withdrawal","Total Withdrawal Payment Fee","Total Number of Bets","Total Turnover","Total Profit&Loss","Total Bonus","Total VIP Cash Bonus","Total Referral Commission","Total Revenue Adjustment","Total Deduction","Total Net Profit","Slots Bet Count","Slots Total Stake","Slots Total Turnover","Slots Total Profit&Loss","Live Casino Bet Count","Live Casino Total Stake","Live Casino Total Turnover","Live Casino Total Profit&Loss","Sports Bet Count","Sports Total Stake","Sports Total Turnover","Sports Total Profit&Loss","Fishing Bet Count","Fishing Total Stake","Fishing Total Turnover","Fishing Total Profit&Loss","Card Bet Count","Card Total Stake","Card Total Turnover","Card Total Profit&Loss","E-sports Bet Count","E-sports Total Stake","E-sports Total Turnover","E-sports Total Profit&Loss","Lottery Bet Count","Lottery Total Stake","Lottery Total Turnover","Lottery Total Profit&Loss","P2P Bet Count","P2P Total Stake","P2P Total Turnover","P2P Total Profit&Loss","Table Bet Count","Table Total Stake","Table Total Turnover","Table Total Profit&Loss","Arcade Bet Count","Arcade Total Stake","Arcade Total Turnover","Arcade Total Profit&Loss","Crash Bet Count","Crash Total Stake","Crash Total Turnover","Crash Total Profit&Loss"
"iWXGlkMy"," ","fbmsgbdt","-","BDT","2021/08/04 12:39:42","1","0","0","7","2800","0","500","0","1857","19050.36","5273.39","5929.88","4","0","0","0.00","-660.49","1753","11431.6","11431.6","2890.07","57","1822","1822","1071","13","4762","4782","843.4","","","","","","","","","","","","","","","","","","","","","34","1014.76","1014.76","468.92","","","","","","","",""
"v603NqL5"," ","socialdomain","-","BDT","2021/08/03 15:55:41","7","2","1000","94","73700","54","73300","0","23362","2020938.75","60627.86","45829.44","111","898.75","0","0.00","13788.67","18744","184713.3","184713.3","8346.83","1439","594472","589002","24621.55","172","424061","1104606","30422.36","2078","58219.6","58219.6","3198.7","","","","","","","","","","","","","","","","","757","84589.60","81165.85","-5816.97","","","","","172","3232","3232","-144.61"
"9ywZUx6o"," ","jeetbuzzyoutube","-","BDT","2021/08/03 16:29:00","0","0","0","3","0","0","5000","0","696","18870.6","-1298.7","3479.69","0","248.9","0","0","-5027.29","689","17003.6","17003.6","-81.7","7","1867","1867","-1217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hTTNX59v"," ","pinterest","-","BDT","2021/08/03 16:29:10","0","0","0","1","0","0","0","0","56","373","287.17","383.98","11","0","0","0.00","-107.81","44","99","49","29.4","","","","","1","277","277","277","","","","","","","","","","","","","","","","","","","","","11","47","47","-19.23","","","","","","","",""
"v603NqL5"," ","socialdomain","-","INR","2021/08/03 15:55:41","0","0","0","0","0","0","0","0","0","0","0","51.28","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"o36TsA9F"," ","twitter","-","BDT","2021/08/04 12:36:07","0","1","500","4","2800","0","0","0","5131","21377.41","6248.84","3401","0","0","0","0.00","2847.84","5077","13951.1","13951.1","2573.47","10","2820","2820","1560","36","14394","4606.16","2115.24","","","","","","","","","","","","","","","","","","","","","","","","","8","0.15","0.15","0.13","","","",""
"v603NqL5"," ","socialdomain","-","PKR","2021/08/03 15:55:41","1","0","0","0","0","0","0","0","14","59","-301","199","0","0","0","0","0","14","59","59","-301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"748lksgk"," ","fbhijack","-","BDT","2021/08/03 16:28:49","0","0","0","1","0","0","0","0","23","453.5","89.9","161.26","0","0","0","0.00","-71.36","23","453.5","453.5","89.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"876PXpSt"," ","whatappbdt","IN","BDT","2024/04/03 15:21:36","0","0","0","1","1000","0","0","0","93","2649","1306","305.75","0","0","0","0.00","1000.25","66","679","679","456","27","1970","1970","850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VxzGKJMT"," ","fbdirect","-","BDT","2021/08/03 16:28:55","0","0","0","21","3600","0","48500","120","3946","269171.9","-20878.5318","15122.13","26","37.99","0","0","-35839.6518","3443","131095.4","131095.4","-12999.30","103","14995","14995","2225","32","112905","112905","-3809.7418","55","905.5","905.5","-329.8","","","","","","","","","","","","","1","250","250","-225","23","6720","4300","-6280","","","","","289","4721","4721","540.31"
"Grand Total","","","","","","9","3","1500.00","132","83900.00","54.00","127300.00","120.00","35178","2352943.52","51354.93","74863.41","152.00","1185.64","0.00","0.00","-24069.84"
